"Choose your city first","Спочатку потрібно вибрати місто"
"Novaposhta info","Дані Нової Пошти"
"New Novaposhta address","Задати нові дані"
"Please select the city from lists.","Будь ласка виберіть місто iз списка"
"Please select the city and the warehouse from lists.","Будь ласка виберіть місто і склад зі списків"
"Novaposhta address","Адреси Нової Пошти"
"Current City","Поточне місто"
"No city data found","Немає даних по місту"
"Current Warehouse","Поточний склад"
"No warehouse data found","Немає даних по складу"
"Changing Novaposhta address information will not recalculate shipping price.","Зміна адреси вручну, не викличе перерахунок ціни доставки"
"Change Novaposhta data","Змінити дані Нової Пошти"
"Save edited Novaposhta data","Зберегти нові дані"
"Cancel editing Novaposhta data","Скасувати зміну даних"
"City","Місто"
"Warehouse","Склад"
"Novaposhta Shipping","Доставка Новою поштою"
"Please wait until city data loads and choose city.","Зачекайте, будь ласка, поки закінчиться завантаження і оберіть місто зі списку"
"Please wait while data loading...","Зачекайте, будь ласка, дані завантажуються..."
"An error have been occurred while fetching warehouses list. Try to reload page or contact with us","Помилка при отриманні списку складів"
"Choose the warehouse...","Оберіть склад"
"Error while retrieving data. Reload the page or contact to developer","Сталася помилка при отриманні данних. Спробуйте ще раз. І якщо не допомогло, зв'яжіться з розробником"
"Choose the city...","Оберіть місто"
"Firstly choose the city...","Спочатку оберіть місто ..."
"Trying to fetch form","Завантажую форму"
"An error have been occurred while fetching form. Try to reload page or contact with us","Відбулася помилка при спробі завантаження форми. Спробуйте ще раз. І якщо не допомогло, зв'яжіться з нами"
"Form loaded.","Форма завантажена"
"Not all elements selected","Вибрані не всі елементи"
"Trying to save data to DB","Спроба зберегти зміни в базу даних"
"An error have been occurred while saving data to DB. Try to reload page or contact with us","Помилка при збереженні даних. Спробуйте ще раз. І якщо не допомогло, зв'яжіться з нами"
"Successfully saved to DB","Дані успішно збережені в базі даних"
"Your city: ","Ваше місто: "
"Error occur when cities collection have been fetched","Помилка при отриманні колекції міст"
"Novaposhta City","Місто доставки"
"Novaposhta Warehouse","Склад Нової Пошти"
"Manage Regions","Керування регіонами"
"Get From API","Отримати з API"
"Manage warehouses","Керування складами"
"Synchronize with API","Синхронізація з API"
"ID","Номер"
"Counterparty Ref","Ідентифікатор контрагента"
"Contact Property","Властивості контрагента"
"City Ref","Ідентифікатор міста"
"City","Місто"
"Manage city index","Керування індексом міст"
"Contact Property Type","Властивості типу контрагента"
"City not defined","Місто не задано"
"Manage chosen third counter party","Керування обраним контрагентом третьої особи"
"Ref","Ідентифікатор"
"Description","Опис"
"Firstname","Ім'я"
"Middlename","По-батькові"
"Lastname","Прізвище"
"Phone","Телефон"
"Email","Електронна пошта"
"Info","Інформація"
"Contact person note","Нотатки про контактну особу"
"Addresses","Адреси"
"Additional phone","Додатковий телефон"
"Manage third counter party","Керування контрагентами третьої особи"
"EDRPOU","ЄДРПОУ"
"Name","Ім'я"
"Address (ru)","Адреса (рос.)"
"Max weight","Максимальна вага"
"Under","До"
"kg","кг"
"Invalid Warehouse.","Невірний склад"
"Delivery via Nova Poshta","Доставка Новою Поштою"
"Delivery to the address via Nova Poshta","Адресна доставка Новою Поштою"
"Delivery to the warehouse via Nova Poshta","Доставка до складу Нової Пошти"
"UAH","грн"
"--Please Select--","Будь-ласка оберіть зі списку"
"Create Address to Address Novaposhta delivery","Створити ТТН адресної доставки Нової Пошти"
"City that has been chosen by the customer","Місто, яке обрав користувач"
"Street that has been chosen by the customer","Вулиця, яку обрав користувач"
"Building number that has been chosen by the customer","Номер будинку, обранний користувачем"
"Flat number that has been chosen by the customer","Номер квартири, який обрав користувач"
"Customer saw that price on checkout:","Користувач бачив таку ціну на чекауті:"
"Recalculated price of delivery:","Орієнтовна перерахована ціна доставки"
"Delivery price","Ціна доставки"
"Recalculated day of delivery:","Орієнтовна перерахована дата доставки"
"Delivery date","Дата доставки"
"Chosen counterparty","Вибранний контрагент"
"Send to Novaposhta server the parcel parameters","Зробити запит, на створення ТТН, до серверу Нової Пошти"
"Create Address to Warehouse Novaposhta delivery","Створити ТТН доставки до складу Нової Пошти"
"Warehouse that has been chosen by the customer","Склад, який обрав користувач"
"Please select shipping type:","Будь-ласка оберіть тип доставки"
"To the door","До дверей (Адресна)"
"To the warehouse","До складу"
"Enter city","Введіть місто"
"Kyiv","Київ"
"Sender","Відправник"
"Recipient","Отримувач"
"Enter street","Введіть вулицю"
"Enter building number","Введіть номер будинку"
"Enter flat number","Введіть квартиру (для багатоквартирних будинків)"
"Enter settlement","Введіть населенний пункт"
"Enter warehouse number","Оберіть склад зі списку"
"Chose city first","Оберіть місто, а потім оберіть склад"
"Address delivery","Адресна доставка"
"Warehouse delivery","Доставка до складу"
"Not specified","Не обрано"
"Manage counterparty","Керування контрагентами"
"Nova Poshta is unable to calculate shipping to your city. You still can to make order with your cart and our manager will contact with you","Ми не можемо розрахувати ціну доставки до вашого міста. Ви можете зробити замовлення і наш консультант зв'яжеться з вами"
"Select city then contact person","Виберіть місто, а потім контакту особу"
"Choose city","Оберіть місто"
"Choose Sender","Оберіть відправника"
"Choose contact person","Оберіть контактну особу"
"Select city","Виберіть місто зі списку"
"Choose address of contact person","Оберіть адресу контрагента"
"Chosen address of contact person","Обрана адреса контрагента"
"Select address of contact person","Оберіть адресу контактної особи"
" Sale product included"," Акційна ціна включена в вартість"
" Free"," Безкоштовно"
"w2c","Склад-Адреса"
"c2c","Адреса-Адрес"
"c2w","Адреса-Склад"
"w2w","Склад-Склад"
"Novaposhta street","Вулиця"
"Novaposhta street num","Будинок"
"Novaposhta flat num","Квартира"
"city","Місто"
"city_id","Місто"
"warehouse_id","Склад"
"street","Вулиця"
"building","Будинок"
"flat","Квартира"
"updated_at","Оновлено в:"
"NP City","Місто (Нова Пошта)"
"NP Warehouse","Склад (Нова Пошта)"
"Choose warehouse","Виберіть склад"
"NP Street","Вулиця (Нова Пошта)"
"Choose street","Виберіть вулицю"
"Shipping cost by carrier","Вартість доставки за тарифами перевізника."
"Novaposhta Shipping Visualisation(Experimental)","Експерементальний візуалізатор результатів пакування"
"Preselected by the customer values:","Обрані користувачем значення:"
"Data prediction from NovaPost:","Прогноз даних від Нової Пошти:"
"Sender params:","Параметри відправника:"
"Current Sender:","Поточний відправник:"
"Choose contact person address","Виберіть адресу контактної особи"
